system:index,A00,A01,A02,A03,A04,A05,A06,A07,A08,A09,A10,A11,A12,A13,A14,A15,A16,A17,A18,A19,A20,A21,A22,A23,A24,A25,A26,A27,A28,A29,A30,A31,A32,A33,A34,A35,A36,A37,A38,A39,A40,A41,A42,A43,A44,A45,A46,A47,A48,A49,A50,A51,A52,A53,A54,A55,A56,A57,A58,A59,A60,A61,A62,A63,state,.geo,PC1,PC2
00020000000000000098,0.0225525153288794,-0.1560642340798337,0.04467365692718,0.0719384131387819,-0.0398902259790919,-0.1277856026021326,-0.0154688389853389,0.0806140595544476,-0.0231456385340373,-0.1083366566919395,0.1255780820149427,-0.1046754092871903,-0.2865989640423933,-0.0557727469831543,0.0988152023571788,-0.0590190930098027,-0.1281479654150156,0.0508271545838829,-0.0362671412718393,-0.1694565565835885,-0.095407990523352,0.0527582904005212,0.1814633947305151,-0.0702446232945385,-0.1385981441274751,-0.0118859111267554,0.1230226177885993,0.0749941609166853,-0.0901381898913093,0.036992448518094,0.0196204765414036,0.0881984165717238,-0.0382687552875843,-0.0155207508865753,0.1057361829297522,-0.1275161147798019,0.0756165380945321,-0.0632978829796228,0.0552388425754604,-0.0328970009833591,0.0664536943557659,-0.0989430853416269,-0.2282946117069598,0.0697117252198193,0.0045659982126779,-0.0199306755316398,0.0415939499849091,-0.0350064854928321,-0.1748090591875731,-0.2018064230296006,0.0855560024368973,0.1508555563614762,-0.0116181889419878,0.0387476394905096,0.090500013430787,0.0509054886175297,-0.1349708821186833,-0.0380403570187181,-0.1511269830103847,-0.3192431851890544,0.0059937977945182,-0.0771537445742989,0.0413268216834048,-0.0308954839306761,Aguascalientes,"{""type"":""MultiPoint"",""coordinates"":[]}",-0.4134578916096093,-0.053905053010237354
00020000000000000099,0.1455843820887782,0.1250039461795051,0.0247962439850477,0.0352373807849167,-0.0960621699527678,-0.0285966778531912,0.0019321180778727,0.1096017313827324,-0.0836828097254424,-0.0898638322898133,0.1645713462740342,0.0389499518720553,-0.1931362813110148,-0.0966300268024847,0.0947857848846448,0.0718311370913914,0.0736493394531249,0.1694815006751371,0.0623021420796197,0.062413397093948,-0.0232561543935447,-0.0440225667164222,-0.0680709802106342,0.0149874192977694,-0.0962820850609733,0.0333326579311736,-0.0516587010147857,-0.0391322076068388,0.1506740044826108,0.1062798663211314,0.1339250399643324,-0.0256763869971966,0.0613071643043548,-0.1017165159160622,-0.0692394333659525,0.0499013767404742,0.0163935468118438,0.0059663765874708,-0.1162852004994095,0.1066377582696808,0.20688889677004,-0.1100226810992867,0.0552313218574506,-0.0777346579165654,0.0735410071838805,0.0382526325250321,0.0093239865233116,0.074145165447361,-0.0426468290063822,-0.0795677970207077,-0.0613845024828514,-0.0428053065373308,0.1187682702777538,-0.0428029460939984,0.0285858177788767,0.0191455843780911,0.0276748517736996,-0.0679339206634953,-0.075665621206075,-0.1568189907050121,0.0038456448828278,0.0209457616897859,0.0184161804272974,0.0178749007370521,Baja California,"{""type"":""MultiPoint"",""coordinates"":[]}",0.29924539084101676,-0.5793914029464093
0002000000000000009a,0.1282514500423229,0.1349489424223655,0.0425317497107207,0.0489356617441108,-0.1785236215177983,-0.0682499202280516,-0.0247293924394851,0.1066942608303755,-0.1456494291975696,-0.0336561684442761,0.1911933926153471,0.0964145910868469,-0.1451921318440228,-0.0676691343690127,0.0046099221467057,0.1499663977297482,0.1660892670325728,0.2028724873190271,0.0652986871976282,0.1179611971171275,-0.0693705600947168,-0.026083188436953,-0.0207565073758866,0.0538259639848206,-0.0832607053715005,0.0080498261465314,-0.0170590411353272,-0.0041767583806781,0.0489946072275098,0.123164389801711,0.090743565409225,-0.0213021006229353,-0.0177598018202079,-0.1362384163353017,-0.0854274383846614,0.0122126577639473,-0.0260338311772792,0.0024345790289461,-0.0608623868493077,0.17890853732209,0.2439064689389627,-0.0922663201500019,-0.0156885060510306,-0.0192868829305452,-0.0217983273912006,-0.0170001681483152,-0.0102562532049215,0.0464914611145634,0.0387491867990034,-0.0247877675649509,-0.0938312352253305,-0.0235252774014104,0.0790708036927315,0.0381873597761754,0.0494686530265216,-0.0469664421868632,0.1072780455585027,-0.0223595237032678,-0.1153870716156944,-0.1755492146951092,-0.0185106456816302,-0.0170019941749637,-0.0206539967744139,0.0529137584465421,Baja California Sur,"{""type"":""MultiPoint"",""coordinates"":[]}",0.41823137575093744,-0.44852834121375884
0002000000000000009b,-0.0084475813785755,-0.0964326963734729,-0.0178766449717184,-0.0652487688299115,-0.1972990490886763,-0.0821537055535482,0.1138820999746639,0.1133357622526795,-0.1412331739806592,0.0711381913616244,-0.0102692801018452,0.1180179848365048,-0.1600355259595655,0.0540972127028725,-0.0532988587386515,0.1080827985746789,0.0067571110105259,0.0641945432544642,-0.0409490069847433,-0.0435866785513693,-0.2622017406084287,0.1789594867174432,0.2012358785255419,-0.0524835732032951,-0.049101197345769,0.035145908857077,0.1456069179179772,0.0222651873235202,-0.1423084252260871,0.2247542014690759,0.0658502586641807,-0.0567252156804836,0.1314150594218646,-0.0350451264176241,-0.1059744540999002,-0.0503320945591778,0.0164750754904092,-0.0521813153351618,0.0105186382686047,-0.0356835731031607,0.0959117147917263,-0.1162313906790566,0.0618632666916045,0.221516669270549,-0.0567968494225121,-0.0294747840189243,-0.1627338209660043,-0.0987920884211677,0.107384809168376,0.0121130053955895,-0.0443513683166512,-0.1394150910047522,-0.0535272340004981,0.0569553486125335,-0.0558390347768049,0.0299374026690021,0.0320644239244689,-0.0342801171151459,-0.1111326250994432,-0.220626467134405,0.0827906399075861,-0.1208540019952368,-0.0950829935674038,0.0180487364532517,Campeche,"{""type"":""MultiPoint"",""coordinates"":[]}",0.49337997384333143,0.2855095715235692
0002000000000000009c,-0.0013413083047332,-0.1031616910491149,0.0652211360230701,-0.0313964618103618,-0.0415674217051598,-0.1035379573913598,0.043401435365131,0.1093145949466215,-0.0116619697141365,0.0208313864378235,0.0234506506830895,0.0704331797591031,-0.2477425924397214,0.0586982726759613,0.0131129880439613,-0.016920846105455,0.0145337784395487,0.0396779623422333,-0.1310213873723436,-0.1098048743092158,-0.2695888574688505,0.1319284357044966,0.0561926480850296,-0.0860059976013906,-0.0659841542931427,-0.0012285104480525,0.1347839550574737,-0.0608899655663447,-0.1857150387814658,0.0905298777014153,0.0262850743621915,-0.0235472684052892,0.0517266388462043,0.0231522410440794,-0.0459030260235004,-0.0444241246929055,0.0141673147485267,-0.0775034939574077,-0.0056618276513165,-0.110155308968666,0.073329227606359,-0.1513343002573755,-0.0903965217903803,0.2719089005341383,-0.0837095011642168,0.0167123453537844,-0.1066234588175247,0.0300381198572003,-0.0758953216351465,-0.0515052920707555,0.0255294807599019,-0.1090642461866492,0.0372129097826775,0.0347674902436601,0.0643613314681662,-0.0045313782871445,0.0114165073222675,-0.035040231959922,-0.1084264053366958,-0.287475203456,0.0642479671281662,-0.1120771208267797,-0.0116716254798366,-0.0668499226601724,Chiapas,"{""type"":""MultiPoint"",""coordinates"":[]}",0.10325527820803057,0.26479763637012055
0002000000000000009d,0.1139396132104062,-0.0038284340421347,0.0424614896657819,0.06300066748279,-0.0215574459645465,-0.0407051604523584,-0.0508669302352293,0.1249931808584349,-0.0477478236519241,-0.072573034560227,0.1068745436664821,-0.0252424096677334,-0.215204859697162,-0.1138062322325039,0.121380005664726,0.0168030370772767,-0.1118643487294345,0.0947851020555983,0.0706113338671217,-0.1173803970535886,-0.0843134814249272,-0.0527736486336299,0.0575451165141257,-0.0192322558992529,-0.1938670548541781,0.0541901115720722,0.0031998742588135,0.0032068589896886,0.0421993242941914,0.0830482206448638,0.1071833145530064,0.0278253139052939,0.0815079857184404,-0.0345926488109362,0.060913640455076,-0.0222519980516453,0.0775720889131608,-0.0399664413040798,-0.0293488358061268,-0.0634304523340366,0.1700129149986989,-0.0510124374381543,0.010674235546628,-0.0621884244784496,0.0534619416546946,0.1114832934719899,0.0584155743927809,0.0074546174489015,-0.1139914542027146,-0.2035060471563188,0.0016688916701788,0.0190491403457623,0.059162252576699,0.0346164485510413,0.0874508394980079,0.0387738534387697,-0.1513404882474653,-0.0806951114264011,-0.0671267794076467,-0.1944334335694918,-0.0116278371851667,-0.0020871564180018,0.0631353594773953,-0.0252558852762781,Chihuahua,"{""type"":""MultiPoint"",""coordinates"":[]}",-0.07440723916367928,-0.44534070677242427
0002000000000000009e,0.1109777450879208,-0.0178996703324807,0.0211907951206103,0.1954766054528889,-0.0181492259371554,-0.1224643805930345,-0.0816918626854337,0.0863595423083563,-0.1260541435123174,-0.0546380538897839,0.0973952365349594,-0.0234166872022807,-0.2123238594535856,-0.1709842546757287,0.0748479944508392,0.0286459870665451,0.000673345259884724,0.172374554907447,0.1005611573000997,-0.1046997522374189,-0.1246217780043269,-0.0058255062968291,-0.0179135298933352,0.0249812087231983,-0.1771702783916295,0.0456600740740824,0.0384666795064959,0.0427535117322303,-0.0618735267550387,0.094995858508906,0.1038679492675029,-0.0188080539034228,0.1063145603592736,-0.0418399263851841,0.0293223337534967,-0.0014749582124741,0.0394901135983803,-0.0639396452640484,-0.0689716416558675,0.0364476218082693,0.2259806506978975,-0.0714977804753517,-0.0193925310435044,-0.0141425968345518,0.0339306718927502,0.0797402295134723,0.0577144097460515,0.0115211849881021,-0.0664143733619318,-0.165282958166424,-0.0202468343232166,0.0076729702667657,-0.0275807584396985,-0.0101049943656874,0.0881202996028632,0.0579090144417901,-0.1056725910302509,-0.0463084003285605,-0.0216641089825744,-0.2394980480003182,-0.0669211430808667,0.0216945081184412,0.0959527125373835,0.0636548515610154,Coahuila,"{""type"":""MultiPoint"",""coordinates"":[]}",0.04361832131137406,-0.5012659969051514
0002000000000000009f,-0.0169692908911948,-0.1216996699996421,0.1031430787592119,-0.117904018643884,-0.08911955680015,-0.1250826501812773,0.0055127979588724,0.1597027208773,-0.0816755365772893,-0.0122617126758428,0.0386242609124856,0.1312882166270721,-0.2464563066994524,0.0020683990092659,0.0311392404327385,0.0709136602690047,-0.0070379297173844,0.0523026987446738,-0.1097884694849872,-0.0338056515712592,-0.2547568669512325,0.152207183511375,0.1427761853368744,-0.0819556558613652,-0.0008937667618390911,-0.0307478438257476,0.0603736548320145,0.0962529047987993,-0.1367349793931459,0.0874943318571688,0.0498592487068536,0.0836510130192679,0.025482037167447,0.0081704063709939,-0.000534019953058267,-0.0455034025216161,0.0606544115404379,-0.0068808465587778,0.1135514860093682,-0.082110207811981,0.1109360762679209,-0.1623696169880451,-0.0789777222170118,0.2422864072422745,0.0462323238603931,0.0139085037290059,-0.0587497031554589,0.0154279851015095,-0.0183649815478504,-0.0311108118530271,0.0305876561845619,0.0011668775075798,0.0062838649884921,0.0194322280684146,0.0752048090384227,-0.0530231419822855,-0.0286371916798367,-0.0753108080376383,-0.1625612841206118,-0.2381839252971032,0.1780785586849333,-0.139562538279177,0.0094071445230542,-0.0538994647134675,Colima,"{""type"":""MultiPoint"",""coordinates"":[]}",0.07797514539649818,0.26952119135238073
000200000000000000a0,0.0887150262363035,-0.231277409832959,0.0337375307239449,-0.0023791248619548,-0.019569932667754,-0.1016967520433019,0.0048665026617621,-0.0112948874586486,-0.0403606097221199,0.0334616586901,0.1270376493216823,-0.0896186330509382,-0.2543786148943601,-0.046928607861927,0.0066874537181439,-0.0827978838149123,-0.1229060047962799,-0.0270475661212304,-0.0064524863101284,-0.1395598236197297,-0.053803023529598,0.0184316511126219,0.1501275655286132,-0.1555407130797843,-0.0782328947747094,0.0234691794265273,0.0010491854083026,0.0351285243403751,-0.0237502166639042,-0.0011893412557682,0.0126529565419611,0.0777252782979019,-0.0933270571609508,-0.0060459322458651,0.1105435453615688,-0.1267009820598313,-0.0259957626518552,-0.0914348265750164,0.0405159765649688,-0.1012787229673529,-0.0538493827090387,-0.0879474372969693,-0.2351216232040941,0.1273142979872493,0.0190236913569852,-0.0208068988058104,-0.0727560617470094,0.0597496015831436,-0.1374027570409414,-0.0967051989317915,0.077456266838427,0.0630770007803993,-0.0065317691441712,0.1006689218449456,0.120873147918623,-0.1108084908905959,-0.0321417833864434,-0.0114996601871641,-0.2003907878004815,-0.3095166973748384,0.0678846711986524,-0.0627915369860116,-0.0984220107695868,-0.0575144986110511,Distrito Federal,"{""type"":""MultiPoint"",""coordinates"":[]}",-0.3587058819439102,0.10529306455168354
000200000000000000a1,0.0737954629505913,-0.1088596440607461,0.0403086605155368,0.0285504935939174,-0.0458972941670986,-0.1182178340185091,-0.0573938691398463,0.1457653211486353,-0.0263900512927595,-0.0624200470585099,0.0857087750583543,-0.0381184607188824,-0.2213063984245297,-0.0899134992217704,0.1229128720380872,0.0125151122050608,-0.1419887060879632,0.1035405550456177,-0.0199904816766621,-0.1386271339184875,-0.0989575468292075,-0.0331353052427193,0.1477838688508047,-0.0559338427045688,-0.1092765910626461,0.0126866145961748,0.0305060585641616,0.0990596399209544,-0.0304751828538503,0.0439241786173943,0.0942533124215561,0.10361504607406,0.0223809178901779,0.0458514971529479,0.0620922639955109,-0.061523009762875,0.0643181450829571,-0.0412053491441274,0.0543916988602329,-0.070142429115848,0.0954046512820181,-0.0805574489089109,-0.111100401788723,0.049708644655217,0.0590913002645409,0.0616484097981377,0.0277243272581867,0.0262339650780647,-0.1355570904094758,-0.1838387786555057,0.0728668353114343,0.041576164963866,0.0297431157614877,0.0586031571854302,0.0849300943039512,-0.0247826506206532,-0.1506527673905617,-0.0652489151396545,-0.0865497445098578,-0.2788777694074638,0.0286163801917265,-0.0592633473897661,0.0537625957790766,-0.0576466094218223,Durango,"{""type"":""MultiPoint"",""coordinates"":[]}",-0.25071855830402595,-0.16143709471875795
000200000000000000a2,0.0177559667577223,-0.1840487056882431,0.0864929165442165,0.0373094998859745,-0.0765677978311139,-0.158322638877126,-0.0511294770572833,0.0927344184417056,-0.013113574782245,-0.0831001015969424,0.117760802773911,-0.059086677786996,-0.2409717710553399,-0.0756050606197664,0.0898061104912221,-0.0040023522221613,-0.1068184749780164,0.020713582498571,-0.0653834257634579,-0.1428455355799399,-0.117629135032168,0.0906400243011046,0.1830150963407033,-0.0460087317374674,-0.1093129265307753,-0.0355998894176001,0.0882697518736231,0.0728407188235927,-0.0899607143719547,0.0691406426640968,0.0331936139487625,0.0232848356409106,-0.0265343723701093,-0.0031441588422565,0.1019932802220605,-0.0763846829382713,0.036027641967469,-0.0451712098920802,0.068270869747252,-0.0633662894710067,0.034394687795577,-0.0697162804923918,-0.2240418737877671,0.1295685305201035,-0.0105752890309307,-9.220996996766632e-05,0.0120732923145967,-0.0024065955094905,-0.1736222703587518,-0.1954568727789657,0.0833338413665663,0.1449595340392707,-0.0029625384613091,0.0598678849201693,0.0820096078620161,0.0005856415077647646,-0.0809063278368146,-0.0617520518353459,-0.1875339483561667,-0.3579085926902927,-0.0332311720248886,-0.0776133969372852,0.0404627607912156,0.0111447594275188,Guanajuato,"{""type"":""MultiPoint"",""coordinates"":[]}",-0.36186315398101004,0.014757810097894113
000200000000000000a3,-0.0130230966280646,-0.1152751958635603,0.0869216253238264,-0.0911923686203206,-0.0646707430556046,-0.1704855710115128,-0.0299116415623219,0.1619697892571432,-0.0280421930396118,-0.0127916827341747,0.0469068475919176,0.0541965099958476,-0.262871477731747,-0.016356003201599,0.0039018281673035,0.0063391112025689,-0.0335232126686758,0.0638754263750377,-0.1593399717649495,-0.0690250328238744,-0.2384702968030298,0.0724338094196075,0.127091595049319,-0.0828339473516326,0.0135310350753977,-0.0440512859093326,0.0806361404193145,0.0613938060890689,-0.1723678784014849,0.0706909450188603,0.0290042989273749,0.1024352710051576,0.0204279799057992,0.0400478274532058,-0.0043971706149632,-0.0850702797366034,0.0404792573371824,-0.0348764777541824,0.1171760499836335,-0.0925072608408006,0.0579298826706947,-0.1781190623633132,-0.1487624232624296,0.2348294805430419,0.0209780561515867,0.0015972107109116,-0.0533905754838559,0.0743831206210828,-0.0723782789577542,-0.0861357473261209,0.0844329259918966,0.00048729916107770696,0.0602059489614853,0.0166179615348465,0.0718403051208722,-0.0300241653129372,-0.0270123837612283,-0.0797309422422538,-0.1139039229981781,-0.2702048820754092,0.0999962626462526,-0.109389547369442,0.0067361750859069,-0.0804983471631472,Guerrero,"{""type"":""MultiPoint"",""coordinates"":[]}",-0.08273344717327738,0.2554511969491476
000200000000000000a4,0.040247974226323,-0.1403729686592921,0.063033852634049,0.0448827159606233,-0.0329718079603934,-0.1689912014876935,-0.0543918204119118,0.0990757129124893,0.0015974445657336,-0.0351436725335412,0.0924948075761752,-0.0521366899649362,-0.262340254142501,-0.0319829602461046,0.0568146873852992,-0.0437313757081298,-0.0742648765142639,0.0555531021069307,-0.0796179982907432,-0.142904651351271,-0.1792955304035765,0.0930832490692982,0.0936877447755499,-0.1007120666962986,-0.0841147566283413,-0.0134645261485347,0.0971215500637193,0.0234562784654569,-0.1091269190412714,0.0671685852610164,0.040005372607999,0.0421554103390199,0.0269006249284885,0.0497805707257906,0.0150913807572398,-0.0656563065883478,0.0310967556692204,-0.0712873446298188,0.0208902202383212,-0.058199317799871,0.0122821568017042,-0.0708798414351817,-0.1713822812501348,0.1460515012367214,-0.0227718895880005,-0.0156483064162526,-0.0328107559544388,0.0425573876967611,-0.1235655855981028,-0.1163613941793791,0.067914962738298,0.0121751657810225,0.015593800168969,0.0757055961647367,0.0937973318660359,-0.038371718954855,-0.0505316975113779,-0.073129457706536,-0.1409640553367397,-0.3372496158463642,0.0186516658954154,-0.1029635190837444,0.0060867929010905,-0.0326550630240922,Hidalgo,"{""type"":""MultiPoint"",""coordinates"":[]}",-0.20950368327949917,0.07532704826514827
000200000000000000a5,0.0226155036782358,-0.1310445074942493,0.0728842422786166,-0.0437402237272711,-0.0623276087825346,-0.1602392475081868,-0.0223722722155162,0.1431621517716831,-0.0231127608569315,-0.0674354089462927,0.0922914948570777,-0.004479571005438,-0.255236406776491,-0.0238896798236401,0.0633735388019019,0.0147027980324557,-0.0821694344229392,0.044729307004653,-0.1080619039629192,-0.1181528230660375,-0.1778723742049957,0.0537614216918768,0.1989186495738501,-0.0779957106960302,-0.0442005091923538,-0.0518201455242807,0.0870286886241347,0.0811918189466126,-0.108258102300552,0.0647719875325309,0.0237163526527308,0.0828501464890213,-0.0119122644277575,0.0168442122374658,0.0455639749760584,-0.1065420205527074,0.0381510510370414,-0.0237456455974113,0.0951611427114346,-0.0788922327305861,0.0638065313978396,-0.1283454453339629,-0.1801537539374971,0.1837849342545295,0.0244949590303253,0.0212140911786734,-0.0212561854240148,0.0200293382483449,-0.1058116351449966,-0.1296249282360851,0.0814556868096835,0.0774369999606603,0.018327825854648,0.0301727966369537,0.0673413660761079,-0.0328283835588691,-0.0611736640320129,-0.0501591547967627,-0.1330374380984079,-0.3241681696446061,0.0662888512074261,-0.0991554005858079,0.0177070412730938,-0.0433081530995801,Jalisco,"{""type"":""MultiPoint"",""coordinates"":[]}",-0.22515692584151947,0.14118326881543428
000200000000000000a6,0.0378611123774642,-0.1874116565612136,0.0685217139297397,-0.0106313263750176,-0.0480549112375423,-0.1303949114015412,-0.0180710718823743,0.08251567231945,-0.0089790917243857,-0.0259864427550754,0.1175143257209849,-0.0704938121619043,-0.2562346145863533,-0.0221030341870374,0.0456146325721153,-0.0330698507709636,-0.1470210052598966,0.0127723370213564,-0.0661926932611764,-0.1654117229287158,-0.1092942573966207,0.0269356079082499,0.1881388433619358,-0.1278785288141809,-0.0677942329594351,-0.0340179591712195,0.0504374337482667,0.051422081995292,-0.0975811071038846,0.029434058208599,0.0177056887906085,0.0692378914375992,-0.049367445298324,0.0183781856450092,0.0499106262825563,-0.1058274195600716,0.0264394044049951,-0.060908558243201,0.0352804454297161,-0.0943822030980627,-0.00544526933229,-0.1027439722226731,-0.2306986201955293,0.1384858864222421,0.0031718146707427,0.0055319632024468,-0.0384730837039257,0.0528092279573498,-0.1423810310735868,-0.1298211449480431,0.0868338078064925,0.0834554913867795,0.0243726090388391,0.0715422779872377,0.0971724660477887,-0.0736529022869192,-0.060289259268441,-0.0280560121910419,-0.1672812247495733,-0.3288641766323346,0.0547925290581751,-0.0924868791108315,-0.0226100087267771,-0.0690840506366349,Mexico,"{""type"":""MultiPoint"",""coordinates"":[]}",-0.3477545056380706,0.12623994955282813
